Drug_combo,Accuracy,R_recall,S_recall,R_precision,S_precision
CTZ_G,0.7887324094772339,0.7045454545454546,0.8021778584392014,0.36257309941520466,0.9444444444444444
CTZ_S,0.7746478915214539,0.5454545454545454,0.8112522686025408,0.3157894736842105,0.917864476386037
CTZ_GY,0.8106416463851929,0.6818181818181818,0.8312159709618875,0.39215686274509803,0.9423868312757202
CTZ_SY,0.7683880925178528,0.625,0.7912885662431942,0.3235294117647059,0.929637526652452
CTZ_GS,0.7574334740638733,0.75,0.7586206896551724,0.3316582914572864,0.95
CTZ_GYS,0.8059467673301697,0.75,0.8148820326678766,0.39285714285714285,0.9532908704883227
CTX_G,0.8583061695098877,0.7698412698412699,0.8811475409836066,0.6258064516129033,0.9368191721132898
CTX_S,0.791530966758728,0.7301587301587301,0.8073770491803278,0.4946236559139785,0.9205607476635514
CTX_GY,0.8403908610343933,0.7857142857142857,0.8545081967213115,0.5823529411764706,0.9391891891891891
CTX_SY,0.7947883009910583,0.6428571428571429,0.8340163934426229,0.5,0.9004424778761062
CTX_GS,0.8631922006607056,0.8095238095238095,0.8770491803278688,0.6296296296296297,0.9469026548672567
CTX_GYS,0.8534201979637146,0.7698412698412699,0.875,0.6139240506329114,0.9364035087719298
AMP_G,0.7158273458480835,0.7259615384615384,0.6857142857142857,0.8728323699421965,0.45714285714285713
AMP_S,0.6582733988761902,0.6634615384615384,0.6428571428571429,0.8466257668711656,0.391304347826087
AMP_GY,0.7482014298439026,0.8076923076923077,0.5714285714285714,0.8484848484848485,0.5
AMP_SY,0.6438848972320557,0.6826923076923077,0.5285714285714286,0.8114285714285714,0.3592233009708738
AMP_GS,0.7553957104682922,0.7788461538461539,0.6857142857142857,0.8804347826086957,0.5106382978723404
AMP_GYS,0.7194244861602783,0.7163461538461539,0.7285714285714285,0.8869047619047619,0.4636363636363636
AMX_G,0.7044199109077454,0.6073059360730594,0.8531468531468531,0.8636363636363636,0.5865384615384616
AMX_S,0.5718231797218323,0.5662100456621004,0.5804195804195804,0.6739130434782609,0.46629213483146065
AMX_GY,0.7127071619033813,0.6621004566210046,0.7902097902097902,0.8285714285714286,0.6042780748663101
AMX_SY,0.5773480534553528,0.4840182648401826,0.7202797202797203,0.726027397260274,0.47685185185185186
AMX_GS,0.7182320356369019,0.6940639269406392,0.7552447552447552,0.8128342245989305,0.6171428571428571
AMX_GYS,0.7320442199707031,0.7214611872146118,0.7482517482517482,0.8144329896907216,0.6369047619047619
AMC_G,0.722522497177124,0.5029585798816568,0.8186528497409327,0.5483870967741935,0.79
AMC_S,0.6900901198387146,0.5088757396449705,0.7694300518134715,0.49142857142857144,0.781578947368421
AMC_GY,0.661261260509491,0.5325443786982249,0.7176165803108808,0.45226130653266333,0.7780898876404494
AMC_SY,0.6864864826202393,0.38461538461538464,0.8186528497409327,0.48148148148148145,0.7523809523809524
AMC_GS,0.7261261343955994,0.4970414201183432,0.8264248704663213,0.5562913907284768,0.7896039603960396
AMC_GYS,0.7297297120094299,0.5325443786982249,0.8160621761658031,0.5590062111801242,0.799492385786802
